Date - Time (Philippine Time),Latitude (ºN),Longitude (ºE),Depth (km),Magnitude,Location
27 May 2024 - 06:28 AM,13.71,120.57,100,2.5,015 km S 25° W of Calatagan (Batangas)
27 May 2024 - 06:25 AM,8.82,126.35,33,2.9,006 km N 67° E of Marihatag (Surigao Del Sur)
27 May 2024 - 05:06 AM,9.74,125.57,94,2.2,005 km N 21° W of Taganaan (Surigao Del Norte)
27 May 2024 - 05:06 AM,10.18,126.01,32,1.8,018 km N 10° W of Santa Monica (Surigao Del Norte)
27 May 2024 - 04:42 AM,6.18,126.97,34,2.4,112 km S 62° E of Governor Generoso (Davao Oriental)
27 May 2024 - 04:19 AM,13.67,124.12,33,2.4,009 km N 18° E of San Andres (Catanduanes)
27 May 2024 - 04:11 AM,17.57,122.35,11,2,023 km N 32° E of Maconacon (Isabela)
27 May 2024 - 04:04 AM,13.68,124.14,32,1.6,010 km N 25° E of San Andres (Catanduanes)
27 May 2024 - 04:03 AM,13.32,120.69,155,2.3,014 km S 14° W of Abra De Ilog (Occidental Mindoro)
27 May 2024 - 04:01 AM,20.72,120.97,24,3.3,091 km S 85° W of Itbayat (Batanes)
27 May 2024 - 03:59 AM,18.21,122.18,9,2,020 km S 73° E of Gonzaga (Cagayan)
27 May 2024 - 03:56 AM,13.69,124.12,33,2.1,011 km N 12° E of San Andres (Catanduanes)
27 May 2024 - 02:51 AM,8.42,126.01,123,2.3,005 km N 15° E of Rosario (Agusan Del Sur)
27 May 2024 - 02:35 AM,6.17,125.82,142,2,014 km S 77° E of Don Marcelino (Davao Occidental)
27 May 2024 - 02:29 AM,5.97,124.89,32,1.7,017 km N 44° W of Maasim (Sarangani)
27 May 2024 - 02:23 AM,17.72,121.49,32,1.5,004 km S 66° E of Tuao (Cagayan)
27 May 2024 - 02:16 AM,9.92,124.24,35,1.7,004 km S 29° E of Danao (Bohol)
27 May 2024 - 02:07 AM,8.83,126.3,31,2.4,004 km N 10° E of Marihatag (Surigao Del Sur)
27 May 2024 - 01:03 AM,15.55,120.01,49,1.4,006 km N 74° E of Masinloc (Zambales)
27 May 2024 - 12:56 AM,8.23,125.99,15,2.2,005 km N 10° W of Bunawan (Agusan Del Sur)
27 May 2024 - 12:26 AM,7.78,126.53,32,2.1,008 km S 79° E of Cateel (Davao Oriental)
27 May 2024 - 12:01 AM,8.39,126.68,33,1.8,038 km N 87° E of Hinatuan (Surigao Del Sur)
26 May 2024 - 11:16 PM,15.75,121.07,33,2.2,006 km N 31° W of Rizal (Nueva Ecija)
26 May 2024 - 11:07 PM,7.95,126.91,27,1.7,053 km N 71° E of Cateel (Davao Oriental)
26 May 2024 - 10:55 PM,5.63,126.35,73,2.6,084 km S 68° E of Jose Abad Santos (Davao Occidental)
26 May 2024 - 10:51 PM,6.25,124.82,33,1.8,004 km N 09° W of T'boli (South Cotabato)
26 May 2024 - 10:17 PM,5.56,125.01,41,2.9,033 km S 03° E of Maasim (Sarangani)
26 May 2024 - 10:03 PM,8.66,125.81,11,3.4,008 km S 46° E of City Of Bayugan (Agusan Del Sur)
26 May 2024 - 09:46 PM,10.62,125.35,24,2,040 km S 69° E of Abuyog (Leyte)
26 May 2024 - 09:45 PM,10.73,125.38,22,2.1,041 km S 87° E of Abuyog (Leyte)
26 May 2024 - 09:34 PM,5.75,125.56,178,2.4,021 km S 27° W of Jose Abad Santos (Davao Occidental)
26 May 2024 - 09:30 PM,5.15,126.41,33,2.5,110 km S 71° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
26 May 2024 - 09:19 PM,8.62,126.15,34,2,007 km S 79° E of Lianga (Surigao Del Sur)
26 May 2024 - 09:19 PM,13.05,123.46,23,2.5,001 km N 09° W of Pio Duran (Albay)
26 May 2024 - 08:54 PM,6.46,126.98,101,2.9,088 km S 42° E of Tarragona (Davao Oriental)
26 May 2024 - 07:58 PM,8.47,127.65,33,4,145 km N 86° E of Hinatuan (Surigao Del Sur)
26 May 2024 - 07:39 PM,5.41,126.26,107,3.4,088 km S 51° E of Jose Abad Santos (Davao Occidental)
26 May 2024 - 07:19 PM,8.02,125.98,26,2.5,006 km N 58° W of Santa Josefa (Agusan Del Sur)
26 May 2024 - 06:58 PM,5.84,126.31,96,3.5,075 km S 84° E of Jose Abad Santos (Davao Occidental)
26 May 2024 - 06:11 PM,6.33,126.53,44,2,062 km S 55° E of Governor Generoso (Davao Oriental)
26 May 2024 - 05:25 PM,5.72,126.55,33,2.4,103 km S 78° E of Jose Abad Santos (Davao Occidental)
26 May 2024 - 05:16 PM,11.65,125.57,16,3.1,016 km N 72° E of City Of Borongan (Eastern Samar)
26 May 2024 - 05:15 PM,11.67,125.52,14,1.8,011 km N 53° E of City Of Borongan (Eastern Samar)
26 May 2024 - 05:13 PM,8.42,126.82,13,2.8,053 km N 83° E of Hinatuan (Surigao Del Sur)
26 May 2024 - 05:09 PM,5.19,126.63,31,3,132 km S 76° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
26 May 2024 - 03:58 PM,18.39,120.63,26,1.9,007 km N 14° E of Pasuquin (Ilocos Norte)
26 May 2024 - 11:59 AM,6.05,125.96,138,4.2,033 km S 62° E of Don Marcelino (Davao Occidental)
26 May 2024 - 11:36 AM,5.94,126.03,135,2.5,043 km N 86° E of Jose Abad Santos (Davao Occidental)
26 May 2024 - 11:19 AM,11.26,124.62,3,3.1,005 km S 33° W of Capoocan (Leyte)
26 May 2024 - 09:49 AM,3.7,124.73,30,3.3,204 km S 22° W of Balut Island (Municipality Of Sarangani) (Davao Occidental)
26 May 2024 - 09:25 AM,8.04,126.76,25,2.1,039 km S 90° E of Lingig (Surigao Del Sur)
26 May 2024 - 07:59 AM,5.55,126.72,15,3,126 km S 71° E of Jose Abad Santos (Davao Occidental)
26 May 2024 - 07:58 AM,14.64,123.3,11,2.2,042 km N 65° E of Tinaga Island (Vinzons) (Camarines Norte)
26 May 2024 - 06:54 AM,6.33,125.31,70,1.9,007 km S 37° E of Malungon (Sarangani)
26 May 2024 - 04:27 AM,15.27,123,32,2.1,088 km N 04° E of Tinaga Island (Vinzons) (Camarines Norte)
26 May 2024 - 04:26 AM,7.53,126.09,2,2.7,006 km S 75° W of New Bataan (Davao De Oro)
26 May 2024 - 04:02 AM,7.23,123.74,28,2.3,036 km N 60° W of Datu Blah T. Sinsuat (Maguindanao Del Norte)
26 May 2024 - 03:46 AM,9.4,126.12,19,2.5,016 km N 30° W of Cortes (Surigao Del Sur)
26 May 2024 - 03:11 AM,6.26,125.56,89,2.3,017 km N 65° W of Don Marcelino (Davao Occidental)
26 May 2024 - 03:06 AM,17.84,120.67,20,1.9,008 km S 05° E of Nueva Era (Ilocos Norte)
26 May 2024 - 02:51 AM,14.33,118.82,33,3,150 km N 70° W of Lubang (Occidental Mindoro)
26 May 2024 - 02:48 AM,9.14,125.61,31,1.9,008 km N 71° E of City Of Cabadbaran (Agusan Del Norte)
26 May 2024 - 01:57 AM,13.58,120.71,35,1.7,015 km N 08° W of Abra De Ilog (Occidental Mindoro)
26 May 2024 - 01:50 AM,12.05,120.74,32,1.5,049 km S 47° W of San Jose (Occidental Mindoro)
26 May 2024 - 01:22 AM,6.45,127.04,106,2.5,093 km S 45° E of Tarragona (Davao Oriental)
26 May 2024 - 01:11 AM,6.11,126.51,130,2.5,078 km S 39° E of Governor Generoso (Davao Oriental)
26 May 2024 - 12:43 AM,10.83,125.53,44,1.9,023 km N 66° W of Homonhon Island (Guiuan) (Eastern Samar)
26 May 2024 - 12:36 AM,19.14,121.26,15,2.3,007 km N 55° E of Dalupiri Island (Calayan) (Cagayan)
26 May 2024 - 12:30 AM,10.85,122.37,8,2.3,008 km N 56° W of Alimodian (Iloilo)
26 May 2024 - 12:29 AM,6.73,123.87,33,2.2,028 km N 47° W of Kalamansig (Sultan Kudarat)
25 May 2024 - 11:15 PM,13.08,124.94,17,2.8,057 km N 07° W of Laoang (Northern Samar)
25 May 2024 - 10:53 PM,13.73,120.53,42,1.4,016 km S 45° W of Calatagan (Batangas)
25 May 2024 - 10:26 PM,10.01,125.38,29,1.8,032 km S 24° E of Anahawan (Southern Leyte)
25 May 2024 - 08:55 PM,5.9,124.72,13,2.9,014 km S 45° E of Kiamba (Sarangani)
25 May 2024 - 08:36 PM,12.9,123.51,10,4.5,009 km S 87° W of Donsol (Sorsogon)
